,1,2,3,4,5,6,7,8,9,10,11,12
A,BLANK,"std5_12,5mg/",std5_25mg/L,std5_50mg/L,std5_100mg/L,std5_200mg/L,BLANK,,,,,
b,,,,,,,,,,,,
c,,,,,,,,,,,,
d,,,,,BLANK,"std5_12,5mg/",std5_25mg/L,std5_50mg/L,std5_100mg/L,std5_200mg/L,BLANK,ScCCM23_A
e,ScCCM23_B,ScCCM23_C,ScCCM28_A,ScCCM28_B,ScCCM28_C,ScCCM16_A,ScCCM16_B,ScCCM16_C,CCM19WT_A,CCM19WT_B,CCM19WT_C,LYS14_A
f,LYS14_B,LYS14_C,"ARG5,6_A","ARG5,6_B","ARG5,6_C",PDA1_A,PDA1_B,PDA1_C,FLO10_A,FLO10_B,FLO10_C,YIL059C_A
g,YIL059C_B,YIL059C_C,SNF7_A,SNF7_B,SNF7_C,VPS20_A,VPS20_B,VPS20_C,END,END,END,END
H,END,END,END,END,END,END,END,END,END,END,END,END
