,1,2,3,4,5,6,7,8,9,10,11,12
A,Sc_CCM 10,Sc_CCM 14,Sc_CCM 08,Sc_CCM 11,Sc_CCM 30,Sc_CCM 13,Sc_CCM 15,0.0,Sc_CCM 25,Sc_CCM 21,Sc_CCM 16,Sc_CCM 12
B,Sc_CCM 16,Sc_CCM 09,Sc_CCM 10,0.0,Sc_CCM 08,Sc_CCM 21,Sc_CCM 14,Sc_CCM 19,Sc_CCM 31,Sc_CCM 10,0.0,Sc_CCM 00
C,Sc_CCM 14,Sc_CCM 08,Sc_CCM 26,Sc_CCM 11,Sc_CCM 00,Sc_CCM 12,Sc_CCM 12,Sc_CCM 31,Sc_CCM 17,Sc_CCM 29,Sc_CCM 32,Sc_CCM 15
D,Sc_CCM 00,Sc_CCM 31,Sc_CCM 29,Sc_CCM 30,0.0,Sc_CCM 23,Sc_CCM 30,0.0,Sc_CCM 15,Sc_CCM 23,Sc_CCM 28,Sc_CCM 32
E,Sc_CCM 16,Sc_CCM 32,Sc_CCM 27,Sc_CCM 29,Sc_CCM 27,Sc_CCM 19,Sc_CCM 00,Sc_CCM 23,Sc_CCM 13,Sc_CCM 21,Sc_CCM 29,Sc_CCM 09
F,Sc_CCM 15,Sc_CCM 23,Sc_CCM 19,Sc_CCM 31,Sc_CCM 25,Sc_CCM 17,Sc_CCM 27,Sc_CCM 30,Sc_CCM 28,Sc_CCM 28,Sc_CCM 25,Sc_CCM 11
G,0.0,Sc_CCM 13,Sc_CCM 11,0.0,Sc_CCM 10,Sc_CCM 26,Sc_CCM 28,Sc_CCM 25,Sc_CCM 08,Sc_CCM 12,0.0,Sc_CCM 14
H,Sc_CCM 09,Sc_CCM 17,Sc_CCM 26,Sc_CCM 16,Sc_CCM 09,Sc_CCM 32,Sc_CCM 27,Sc_CCM 17,Sc_CCM 21,Sc_CCM 19,Sc_CCM 26,Sc_CCM 13
