,gene,plate_mean,plate_std,plate_count,mean_intensity.24_mean,mean_intensity.24_std,mean_intensity.24_count,area.24_mean,area.24_std,area.24_count,mean_intensity.30_mean,mean_intensity.30_std,mean_intensity.30_count,area.30_mean,area.30_std,area.30_count,mean_intensity.48_mean,mean_intensity.48_std,mean_intensity.48_count,area.48_mean,area.48_std,area.48_count,mean_intensity.72_mean,mean_intensity.72_std,mean_intensity.72_count,area.72_mean,area.72_std,area.72_count,corrected_mean_intensity.24_mean,corrected_mean_intensity.24_std,corrected_mean_intensity.24_count,corrected_area.24_mean,corrected_area.24_std,corrected_area.24_count,corrected_mean_intensity.30_mean,corrected_mean_intensity.30_std,corrected_mean_intensity.30_count,corrected_area.30_mean,corrected_area.30_std,corrected_area.30_count,corrected_mean_intensity.48_mean,corrected_mean_intensity.48_std,corrected_mean_intensity.48_count,corrected_area.48_mean,corrected_area.48_std,corrected_area.48_count,corrected_mean_intensity.72_mean,corrected_mean_intensity.72_std,corrected_mean_intensity.72_count,corrected_area.72_mean,corrected_area.72_std,corrected_area.72_count
0,AAC1,4.0,0.0,4,0.002035386888907794,1.972545519594659e-05,4.0,232.5,2.5166114784235822,4.0,0.001784536581672225,1.9695938290645783e-05,4.0,167.0,1.4142135623730967,4.0,0.0017407597277114876,3.031515241289331e-05,4.0,111.25,3.593976442141304,4.0,0.0016816352592715874,4.022434974334461e-05,4.0,132.0,5.228129047119372,4.0,0.0018330209638226706,5.922831901408092e-06,4.0,232.04752938269985,1.7345556477188147,4.0,0.0017297648969129842,2.5658349469329017e-06,3.0,185.01595863288773,0.740294811959655,3.0,0.0016161867246172444,2.25684529943109e-05,4.0,174.21879153743097,5.084328541454549,4.0,0.0014990971649046503,2.9682933551875704e-05,4.0,195.34932835252062,7.485648147218757,4.0
1,AAC3,9.0,0.0,4,0.0015191500621095939,0.00012433066008505717,4.0,110.75,13.98511113053212,4.0,0.0014821510642589876,0.0001070335031779027,4.0,78.5,7.895146188218008,4.0,0.0014209452523971315,0.00010235571390386832,4.0,58.75,9.673847907287636,4.0,0.0012338297227476374,6.926955271216423e-05,4.0,63.75,8.770214744615247,4.0,0.001512533645405066,0.0001456986631482386,4.0,128.2966108693562,3.45736095813133,3.0,0.0014525124923252335,0.00011830270023920335,4.0,91.18564420198597,8.958632106392034,4.0,0.0014279605024588467,0.00011214097747469893,4.0,83.15849456690934,12.994115748518414,4.0,0.001372325165101119,8.440867707965739e-05,4.0,93.90970991115418,11.762738635653637,4.0
2,AAD10,4.0,0.0,4,0.0018882123627330127,7.402791217050054e-05,4.0,234.0,7.745966692414832,4.0,0.0016468628984024625,5.554636308859408e-05,4.0,194.75,7.632168761236874,4.0,0.0015963286130545626,5.952342722131007e-05,4.0,182.75,3.593976442141304,4.0,0.0014857224694382937,6.929694053477462e-05,4.0,198.25,6.075908711186059,4.0,0.00185234526379257,4.9883944149011356e-05,4.0,234.02011843438896,4.591261249403083,4.0,0.0017383654479462217,5.209699189353097e-05,4.0,186.80509096402633,2.063418407092128,3.0,0.0016302673258509585,6.242894864475698e-05,4.0,183.88525218272375,1.3682788427000279,3.0,0.0014794930268035803,2.1646157401101185e-05,3.0,198.71649875814856,1.5489504052046124,3.0
3,AAD14,12.0,0.0,4,0.00177640711047525,0.00013017195939984844,4.0,252.75,26.899504332484142,4.0,0.0016654787550046313,0.00011756706677305384,4.0,168.0,18.60107523773828,4.0,0.0015981376069845623,0.00012044377250770689,4.0,135.5,20.33879708012907,4.0,0.0015050110285485376,0.00011673918379927014,4.0,153.0,19.62990915244728,4.0,0.0018634988144704714,0.00012933720582310271,4.0,245.90253215433546,25.728088389331507,4.0,0.0017416997056223854,0.00011570899977333275,4.0,190.67398974749557,21.290150534798766,4.0,0.001641838422807398,0.0001166043905577634,4.0,188.99145827344705,30.11559219335136,4.0,0.001506580522141906,0.00010821450543290089,4.0,206.29097269283554,28.415099031614073,4.0
4,AAD15,5.0,0.0,4,0.0018328241113207187,2.1961181565986172e-05,4.0,236.25,7.2743842809317325,4.0,0.0016198227589318873,2.888914515197877e-05,4.0,177.75,7.889866919029749,4.0,0.0016905460979281376,5.973179407019063e-05,4.0,144.75,8.88350531415762,4.0,0.0016329368301069562,7.78918949653655e-05,4.0,160.75,11.086778913041726,4.0,0.0018813338646498782,3.062000614583545e-05,4.0,237.22019537596785,8.665782286459791,4.0,0.001761282340074917,6.508525172801782e-06,3.0,183.3689896282293,9.202294609334231,4.0,0.001669880013212158,2.0156794518924158e-05,3.0,174.45748832625827,9.362162524971078,4.0,0.0015624067818423473,3.840247126724711e-05,3.0,187.29716033785996,11.439219249563491,4.0
5,AAD4,10.0,0.0,4,0.002034185304477025,0.00014169245392470732,4.0,278.75,27.74136502289195,4.0,0.0018577344845176562,0.00011583273181115551,4.0,234.25,22.216735433752035,4.0,0.0016710468840182313,5.965959954825479e-05,4.0,261.5,46.29254799641082,4.0,0.0016176831514231875,6.311036977223387e-05,4.0,288.75,55.25320503524359,4.0,0.0019500290600236979,4.988081770331264e-05,3.0,250.34229407596376,19.544300630269895,4.0,0.0017821080642652777,7.566265599253884e-05,4.0,202.43988607860734,14.802414574179693,4.0,0.001681572434571654,4.5942657527348346e-05,4.0,195.6429118248111,11.844159429594857,4.0,0.0015946923031274032,1.2574684482269416e-05,3.0,216.1446669908592,14.465892390471696,4.0
6,AAH1,5.0,0.0,4,0.0018091991895999749,6.965072871999461e-05,4.0,269.75,9.91211380079951,4.0,0.0017118697401759875,7.997938998661134e-05,4.0,216.75,11.236102527122119,4.0,0.001786339086652325,0.00011977053723978009,4.0,196.75,14.31491064123932,4.0,0.0017254570321345438,0.0001589316487363341,4.0,209.75,12.893796958227624,4.0,0.0019643554375590173,2.44852240596987e-05,3.0,260.13884016023786,5.739834151804179,4.0,0.001821239026222754,8.070377129038725e-05,4.0,199.6541022939668,6.775085840051943,4.0,0.0017091033213026902,0.0001141667626217166,4.0,188.59231935684997,9.067488203114351,4.0,0.0016084073909406332,0.00015223045252316656,4.0,198.62237711202087,3.328752257094544,3.0
7,AAP1,4.0,0.0,4,0.0020917939093391498,8.742863911640496e-05,4.0,294.75,21.530985424112224,4.0,0.0019559710483680564,9.755080830947239e-05,4.0,258.5,24.55605831561735,4.0,0.0018066903363239376,6.053696220150502e-05,4.0,271.25,51.13625589214238,4.0,0.0017405808899812313,7.817904193487445e-05,4.0,298.25,54.68927378075767,4.0,0.0017935548692114788,7.800742608935457e-05,4.0,227.80559017823472,3.0618523572555354,4.0,0.0016860842479435407,6.463029525573463e-05,4.0,178.65252602030273,2.0329791030447604,3.0,0.0015631934314244383,5.270476107351723e-05,4.0,175.69962288885117,4.028050480485159,4.0,0.0014574935724598953,5.878898630390636e-05,4.0,192.03049980509618,3.349061209532517,4.0
8,AAR2,10.0,0.0,4,0.0018923877653774,0.00016515275652411148,4.0,223.0,8.75595035770913,4.0,0.0016603000458027437,0.0001184278136542738,4.0,133.5,8.103497187428813,4.0,0.0015482700296011874,0.00010948770854753396,4.0,103.75,5.737304826019502,4.0,0.001483908127357725,0.00010406764752628605,4.0,107.0,6.0553007081949835,4.0,0.0019209267347475535,0.00016738392669799713,4.0,211.9913447060021,6.9474488567042085,4.0,0.0017570972928215168,0.00012591198086872235,4.0,164.10434027191468,9.63638744425629,4.0,0.0015882783917016586,0.00011079548846604543,4.0,160.01429289146301,8.228211494348855,4.0,0.0014673113286017413,0.0001005726907199307,4.0,174.4536013848174,9.064719749365924,4.0
9,AAT1,14.0,0.0,4,0.0016895410295032936,0.00020729876806941226,4.0,202.0,11.747340124470734,4.0,0.0016816178872901188,0.00018860601504232263,4.0,163.75,9.604686356149273,4.0,0.0015209579116253812,0.00015381758771530342,4.0,175.25,13.671747023210555,4.0,0.00142343463076335,0.00015243499616013128,4.0,188.25,15.217862311551297,4.0,0.0017439633235897443,0.00020186449129059605,4.0,225.4502589737145,3.5540724254798794,3.0,0.0018089472227143136,0.00023048974335821256,4.0,177.16585943293126,7.920240388683959,4.0,0.0015723133027803207,0.00015549807056987322,4.0,185.82580797927375,17.566412055543275,4.0,0.0014531663437122892,0.00015094140953734726,4.0,203.83604731074902,24.370370050900913,4.0
10,AAT2,2.0,0.0,4,0.00182655963694855,4.407801593917864e-05,4.0,227.0,3.1622776601683786,4.0,0.0016534659038541502,3.853481976593046e-05,4.0,164.0,2.1602468994692847,4.0,0.0015400465306668124,3.376769544929944e-05,4.0,134.5,2.5166114784235805,4.0,0.0014710784440471626,3.720194534354224e-05,4.0,150.5,4.999999999999997,4.0,0.00181620127256965,3.941580359030781e-05,4.0,222.06591130576376,1.6661414505887042,3.0,0.001712191693362574,3.6887694682226946e-05,4.0,174.2129905942086,0.6874931824249996,3.0,0.0015982162191213987,3.2133475141265876e-05,4.0,170.08666061450097,0.9680105725329106,3.0,0.001492597571572138,3.325115391380644e-05,4.0,184.5378148372316,5.310196862617852,4.0
11,ABM1,6.0,0.0,4,0.0020856081154078812,0.00013544013190923401,4.0,266.0,42.85634919900045,4.0,0.0020828499937808813,0.00013866917227704147,4.0,239.5,37.13488925525428,4.0,0.0021129150803039626,6.345855387777249e-05,4.0,251.25,67.85462401340088,4.0,0.002158546922272151,7.653499726663807e-05,4.0,278.25,75.3585872125179,4.0,0.0017922195652393948,4.284991561122848e-05,4.0,214.6749794400986,5.152172956030935,4.0,0.0017161867179624028,3.722580604070569e-05,4.0,168.21019144806607,2.306012866746156,3.0,0.001659738071627856,2.5900274537876298e-05,4.0,161.73217514690484,7.5350876172932875,4.0,0.0016054338672849826,1.2242314230571412e-05,3.0,174.01521395724603,7.349371869704682,4.0
12,ABP1,9.0,0.0,4,0.0019165797952324186,0.00011045011023442153,4.0,204.0,8.485281374238573,4.0,0.0018418972976936563,8.554736947699513e-05,4.0,172.5,16.34013463836819,4.0,0.0016875472150753002,9.233574981270765e-05,4.0,164.0,13.4412301024373,4.0,0.0014189405234025314,8.617409604851646e-05,4.0,178.25,15.585784121008054,4.0,0.0017941227704034658,0.000129813674286118,4.0,221.65461152218012,7.74574370358694,4.0,0.0016796201098316468,0.00010787792766408139,4.0,183.33260679987256,3.1400183384760783,3.0,0.001558254978209342,4.4937121220520526e-05,3.0,180.16580653646835,1.5726488263334417,3.0,0.0014389628063695762,3.648111010342389e-05,3.0,196.92332889339485,9.196829967784588,4.0
13,ABP140,13.0,0.0,4,0.0016068429198187193,0.00014656541268470705,4.0,,,0.0,0.0014543643106818634,0.00012475572749231977,4.0,222.5,20.85665361461421,4.0,0.0014215088828638594,8.859204301760038e-05,4.0,249.25,42.586187118986516,4.0,0.0012340745353137728,8.677514450501774e-05,4.0,272.25,47.67511580129267,4.0,0.001701882026981246,3.537524379856155e-05,3.0,,,0.0,0.0016082227751404573,3.319850412257065e-05,3.0,164.18614480337277,9.12308525943833,4.0,0.0014869212362590377,3.0689003311870665e-05,3.0,170.7991136883368,5.507377074791169,3.0,0.0013696025756225784,3.358386512170583e-05,3.0,192.3265738807392,10.477457355111628,4.0
14,ABZ1,4.0,0.0,4,0.0019094608596045939,6.852606905572837e-05,4.0,213.75,10.436314802968846,4.0,0.0016842929512019687,7.522491329357954e-05,4.0,177.0,11.575836902790224,4.0,0.0016446665640911188,7.143588035163456e-05,4.0,210.5,27.63451947595012,4.0,0.0015556121789469127,8.673563887155448e-05,4.0,226.5,26.564387187862373,4.0,0.0019094580425741367,5.0513767028003465e-05,4.0,246.46653162773944,1.0062434275341798,3.0,0.001783139594592583,1.8999326525980136e-05,3.0,198.68093286594726,3.6954008653103867,3.0,0.0017240589632318746,6.564291674593148e-05,4.0,195.45033271383656,6.6428517751485305,3.0,0.001595528092780285,7.862048742168811e-05,4.0,215.08796293846615,13.600389344952385,4.0
15,ABZ2,8.0,0.0,4,0.0016239483259839124,8.26843714030499e-05,4.0,243.5,9.46924847422786,4.0,0.0013996547510602686,6.720321071840011e-05,4.0,180.25,10.626225419530057,4.0,0.0013352252872732063,5.5832344191105796e-05,4.0,137.25,10.404326023342401,4.0,0.0012184897425458188,5.170317899862825e-05,4.0,154.0,10.456258094238745,4.0,0.0019314703168815596,4.01453579577987e-05,3.0,253.26755284875557,7.442143634091567,4.0,0.0017983762244383717,2.8863071334957467e-05,3.0,198.09889465192623,8.062221514809918,4.0,0.0016364933586897402,2.4427996143504786e-05,3.0,197.08853108688703,9.357143215246246,4.0,0.0014924200723437139,1.2758948985628022e-05,3.0,214.22908494983042,9.52058966114366,4.0
