,gene,plate_mean,plate_std,plate_count,mean_intensity.48.A_mean,mean_intensity.48.A_std,mean_intensity.48.A_count,mean_intensity.48_mean,mean_intensity.48_std,mean_intensity.48_count,area.48_mean,area.48_std,area.48_count,mean_intensity.24_mean,mean_intensity.24_std,mean_intensity.24_count,area.24_mean,area.24_std,area.24_count,corrected_mean_intensity.48.A_mean,corrected_mean_intensity.48.A_std,corrected_mean_intensity.48.A_count,corrected_mean_intensity.48_mean,corrected_mean_intensity.48_std,corrected_mean_intensity.48_count,corrected_area.48_mean,corrected_area.48_std,corrected_area.48_count,corrected_mean_intensity.24_mean,corrected_mean_intensity.24_std,corrected_mean_intensity.24_count,corrected_area.24_mean,corrected_area.24_std,corrected_area.24_count,mean_intensity.24.A_mean,mean_intensity.24.A_std,mean_intensity.24.A_count
10,AAT2,0.0,0.0,8,0.000890587633397025,1.680530235964439e-05,4.0,0.000894090533347075,1.6550619215051663e-05,4.0,21.166666666666668,13.02945381306011,6.0,,,0.0,3.5,0.8366600265340756,6.0,0.0009815528147343543,1.1041946366167153e-05,3.0,0.0009238131329600156,3.478963757763111e-06,3.0,20.671189476595924,10.584958896411127,6.0,,,0.0,2.151924260168187,0.6311512638460074,6.0,,,0.0
11,ABF2,7.0,0.0,8,0.0012944727252361624,8.737810530586406e-05,8.0,0.001288378772834025,0.00010335146871167117,8.0,149.25,29.912968998173913,8.0,0.0016679385577792376,5.0089996831663486e-05,8.0,70.25,37.621232606829125,8.0,0.001197622497568471,7.597330840839539e-05,7.0,0.001134125256523633,8.784374650740105e-05,7.0,146.17589403565754,3.1668452618984486,6.0,0.0016085081630438497,1.7945630587364482e-05,8.0,27.224049116984613,1.2482295111414268,6.0,0.001457160471240875,1.2641542216176587e-05,4.0
12,ABM1,8.0,0.0,8,0.0012422103994560877,0.00014603045958179825,8.0,0.0012736961218839376,0.00016555397537692284,8.0,99.5,9.31971796017148,8.0,0.0015002044869791,7.873592331132651e-05,8.0,53.5,38.93584466786357,8.0,0.0012244718582037975,5.509002052958291e-05,7.0,0.0011848559068111813,6.934550528148944e-05,8.0,155.33664126069252,17.765370400569434,7.0,0.0015459963376873002,4.864709496634744e-05,7.0,27.793003817081107,4.321777817314997,7.0,0.00151019959198675,5.9003578702161153e-05,4.0
13,ABP1,11.0,0.0,8,0.0017004088642329877,0.0001032744314583063,8.0,0.0014924656493498878,0.00013639091170166174,8.0,126.75,20.513062040702607,8.0,0.0014645315988848378,0.00014235633212600045,8.0,68.625,41.317369228933245,8.0,0.0014059822665967283,4.6072930870883565e-05,8.0,0.0013391630969115998,4.3705707509150925e-05,8.0,163.9207144623402,11.717195711183109,8.0,0.0016606164531351602,0.0001023781995137875,7.0,30.390595870388122,3.173686893846031,8.0,0.001440232688080975,1.0126725201240347e-05,4.0
14,ABP140,4.0,0.0,8,0.0012910193341047571,0.00020143494027674737,7.0,0.00141332042334,0.00019791448330400211,7.0,146.5,65.84614100852295,8.0,0.001457746964593843,0.0001159008088020921,7.0,41.5,22.677868380553633,8.0,0.0014542754128564373,0.00012709996656351072,6.0,0.0014062206667163305,0.00013574041206853484,6.0,172.55704245911326,42.81825894790358,7.0,0.0017984163430125356,0.00013103424637739579,5.0,26.923176671318497,3.7529341866457644,7.0,0.0012513226003055,0.00010137529614650722,3.0
15,ABZ1,12.0,0.0,8,0.0011959007106189,5.864670456488344e-05,8.0,0.0013430911754155124,5.476927730146466e-05,8.0,198.625,20.66700268544038,8.0,0.0013421692704937626,0.0003109012441688589,8.0,88.875,56.39513023555948,8.0,0.0014034192049042318,7.956215194437826e-05,7.0,0.0013607475449306063,7.359857072274038e-05,8.0,152.98499459571278,11.199990540976835,8.0,0.001712447836216624,0.0003552138263495404,8.0,28.191087008412875,0.6979481806812303,6.0,0.00133083713310385,2.492775400818356e-05,4.0
16,ABZ2,1.0,0.0,8,0.0014250407292924372,7.330901353068715e-05,8.0,0.0013761278314966625,5.8119549780242894e-05,8.0,134.625,11.963486114005406,8.0,0.0016878774032559128,0.0003609556968766122,8.0,72.75,51.991070661907216,8.0,0.001268680402917919,7.797500457459497e-05,7.0,0.0012279858398744291,6.348800051868988e-05,7.0,153.85466323111638,23.715116432234538,8.0,0.0016296365926042643,4.886773654090773e-05,7.0,28.323907653446728,5.007434849125097,8.0,0.0014124239566554251,8.092418149418286e-05,4.0
17,ACA1,3.0,0.0,8,0.0014399675493355125,0.00020716249576118522,8.0,0.0014214915367068124,0.00020712204033285678,8.0,108.125,19.917239481700985,8.0,0.001708311231696475,0.00017951224857882907,8.0,55.375,36.04337664536995,8.0,0.001391354710042725,0.00010532402142370806,7.0,0.0013356198841803148,9.448886045994416e-05,7.0,168.42839008715947,25.236453470591886,7.0,0.0016892175180909005,0.00014245600882002263,7.0,31.039566211029495,5.697915755381039,8.0,0.001572097058757975,5.976203155908657e-05,4.0
18,ACB1,4.0,0.0,8,0.0016068353861743,0.00018078682210544335,8.0,0.001278546897732725,0.00014258269318678392,8.0,169.375,33.85657775296933,8.0,0.0015860523602734375,8.075162393621866e-05,8.0,76.75,46.110891183258275,8.0,0.0014238472068257779,4.6183523122569834e-05,8.0,0.001365355497314982,4.368007857625851e-05,7.0,174.97950670253238,8.533830342651267,6.0,0.001777269696899229,8.280891267581398e-05,7.0,41.16106602894025,6.569262121833993,6.0,0.0019277245090472501,8.105777875113201e-05,4.0
19,ACE2,3.0,0.0,8,0.001973064760146725,0.00039494052820414696,8.0,0.0017888240216159374,0.000352372208909834,8.0,250.125,83.48556333710809,8.0,0.001933265358181486,0.00017889341455054782,7.0,90.625,60.201892471440274,8.0,0.0015465024325176195,0.0001698469346124629,6.0,0.0014716295499490803,0.00014969826722975861,6.0,219.58383961139708,30.512461783568067,7.0,0.0021230884793203087,0.00020450396752798628,6.0,40.38230585318549,6.494645504619664,6.0,0.002044223212994525,0.00012377275050455634,4.0
20,ACF2,3.0,0.0,8,0.0018717241519876718,0.00023000782175372676,7.0,0.0017227766612423426,0.00021443471932320463,7.0,238.28571428571428,67.56901233976583,7.0,0.0018340635789155571,0.0001633658488634263,7.0,93.71428571428571,47.055691422378395,7.0,0.001467840875782597,4.137010762407391e-05,6.0,0.0014201728018380262,5.892213433105412e-05,7.0,172.77520515279207,18.671283359161702,6.0,0.001782301210097174,4.400637079745528e-05,6.0,34.706938535256505,6.2803650161676545,6.0,0.0018585205249210751,0.00013879483571789682,4.0
21,ACF4,8.0,0.0,8,0.0013665850795182624,0.00014581577416351136,8.0,0.0012590810848837001,0.00014144330014863744,8.0,119.125,13.152267593732377,8.0,0.0014556345851272,5.0226225787743255e-05,8.0,65.125,43.88764062922499,8.0,0.0011741959190039388,5.1332659527418345e-05,7.0,0.0011330150383275107,4.5103836715429084e-05,7.0,140.99335311411176,15.520686349656717,8.0,0.0014963989452786866,7.402723508995374e-05,8.0,25.758442291098696,3.2464984043919602,8.0,0.001543476386832175,4.7448066296494855e-05,4.0
22,ACH1,6.0,0.0,8,0.0017762412375907377,0.0002166353308215198,8.0,0.0015184128764319377,0.00013713499687638495,8.0,151.875,24.097643631098634,8.0,0.0016684804874410376,0.0001202464277183572,8.0,65.5,37.1329657158857,8.0,0.0014188925771074622,4.8602941919320495e-05,7.0,0.001344960151117684,3.931747572083287e-05,7.0,139.15911454275835,17.57399627747171,8.0,0.0015976655592703467,0.00010687011708887681,7.0,30.15118284994603,3.7284035656699466,8.0,0.001892575548046975,0.00013867294552873048,4.0
23,ACK1,9.0,0.0,8,0.0016383064511051749,3.682483164632829e-05,8.0,0.0012795597638029623,5.454466417769842e-05,8.0,141.75,23.106894456602586,8.0,0.0015672972247104625,8.729033458016698e-05,8.0,85.375,61.47458824587604,8.0,0.001466848548948494,4.820122726699061e-05,8.0,0.0014066429864478844,4.239226129623951e-05,7.0,173.624141068924,33.814383648063014,8.0,0.0017046326195378461,0.00012442605958058734,7.0,31.977262311910586,6.776686530553869,8.0,0.00175934513547975,4.8303690180600166e-05,4.0
24,ACM1,1.0,0.0,8,0.0011888866305981875,4.886257565007149e-05,8.0,0.001236915207423625,4.267519809134599e-05,8.0,133.0,13.223355960464152,8.0,0.0015893624266129626,0.0002936467032253125,8.0,72.25,52.26785409243976,8.0,0.001165182580982027,3.6454810131493276e-05,7.0,0.0011191022691697913,3.0153548132401034e-05,7.0,154.41813597506066,35.98829058790885,8.0,0.0015366308810234527,4.196897155424677e-05,8.0,28.99502723781748,6.997512808677105,8.0,0.001252481642918475,3.128927438088033e-05,4.0
25,ACN9,11.0,0.0,8,0.0012017104894922876,8.922708814287458e-05,8.0,0.0012500223331955624,0.00010560726038092786,8.0,132.75,15.369264319227707,8.0,0.0013275174270006,0.00012577832808624277,8.0,72.875,48.35416217865841,8.0,0.0011936417476581355,6.195164296746953e-05,7.0,0.001132923341866554,5.904379955385088e-05,7.0,138.20737342167743,15.145667898679866,8.0,0.0014937858022302042,9.862632699928654e-05,8.0,25.586192961919174,2.987048493315458,8.0,0.00108533518348465,9.239631618763292e-05,4.0
26,ACO1,5.0,0.0,8,0.001918337397528175,0.0003847983076356182,8.0,0.0017511602330616625,0.0004012768844633935,8.0,180.875,41.88227548737055,8.0,0.001749090780726825,9.306439716566374e-05,8.0,77.875,50.02410133411408,8.0,0.001727263365751447,0.0003805068283673154,8.0,0.00161082284069801,0.0003453111491780142,8.0,228.5681513665292,69.30202102938728,8.0,0.001982359865301007,0.0002694296108597685,7.0,36.69662729166073,4.2017581455478465,7.0,0.0019545043923994503,0.0001089631007440529,4.0
